clip_name,gt_episodes,pred_episodes,TP,FP,FN,precision,recall,f1
vid_000_0001,0,0,0,0,0,-,-,-
vid_000_0003,0,0,0,0,0,-,-,-
vid_000_0005,1,1,1,0,0,1.0,1.0,1.0
vid_000_0010,1,1,0,1,1,0.0,0.0,0.0
vid_001_0003,3,3,3,0,0,1.0,1.0,1.0
vid_001_0004,3,3,3,0,0,1.0,1.0,1.0
vid_002_0001,2,2,2,0,0,1.0,1.0,1.0
vid_002_0002,0,0,0,0,0,-,-,-
vid_002_0005,0,0,0,0,0,-,-,-
vid_002_0006,1,1,1,0,0,1.0,1.0,1.0
vid_003_0001,3,3,3,0,0,1.0,1.0,1.0
vid_004_0003,0,0,0,0,0,-,-,-
vid_004_0005,2,2,2,0,0,1.0,1.0,1.0
vid_004_0006,1,1,1,0,0,1.0,1.0,1.0
vid_004_0007,0,0,0,0,0,-,-,-
vid_005_0001,0,0,0,0,0,-,-,-
vid_005_0003,0,0,0,0,0,-,-,-
vid_005_0007,0,0,0,0,0,-,-,-
vid_005_0009,1,1,1,0,0,1.0,1.0,1.0
vid_005_0010,0,0,0,0,0,-,-,-
ИТОГО,,,17,1,1,0.944,0.944,0.944
