clip_name,total_frames,TP,TN,FP,FN,precision,recall,f1,accuracy
vid_000_0001,294,0,294,0,0,0.0,0.0,0.0,1.0
vid_000_0003,302,0,302,0,0,0.0,0.0,0.0,1.0
vid_000_0005,296,225,35,0,36,1.0,0.862,0.926,0.878
vid_000_0010,294,28,237,0,29,1.0,0.491,0.659,0.901
vid_001_0003,291,131,104,56,0,0.701,1.0,0.824,0.808
vid_001_0004,292,135,157,0,0,1.0,1.0,1.0,1.0
vid_002_0001,298,50,248,0,0,1.0,1.0,1.0,1.0
vid_002_0002,290,0,290,0,0,0.0,0.0,0.0,1.0
vid_002_0005,293,0,293,0,0,0.0,0.0,0.0,1.0
vid_002_0006,294,175,69,50,0,0.778,1.0,0.875,0.83
vid_003_0001,295,155,140,0,0,1.0,1.0,1.0,1.0
vid_004_0003,303,0,303,0,0,0.0,0.0,0.0,1.0
vid_004_0005,307,114,179,0,14,1.0,0.891,0.942,0.954
vid_004_0006,310,99,211,0,0,1.0,1.0,1.0,1.0
vid_004_0007,293,0,293,0,0,0.0,0.0,0.0,1.0
vid_005_0001,258,0,258,0,0,0.0,0.0,0.0,1.0
vid_005_0003,287,0,287,0,0,0.0,0.0,0.0,1.0
vid_005_0007,289,0,289,0,0,0.0,0.0,0.0,1.0
vid_005_0009,286,15,271,0,0,1.0,1.0,1.0,1.0
vid_005_0010,287,0,287,0,0,0.0,0.0,0.0,1.0
ИТОГО,5859,1127,4547,106,79,0.914,0.934,0.924,0.968
